Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2023-01-01 00:00:00,Netherlands,Netherlands,NL,161.48,209.75,71.24,64.06,Electricity Maps Estimation
2023-01-02 00:00:00,Netherlands,Netherlands,NL,224.24,282.33,62.98,55.68,Electricity Maps Estimation
2023-01-03 00:00:00,Netherlands,Netherlands,NL,239.49,302.56,57.69,51.58,Electricity Maps Estimation
2023-01-04 00:00:00,Netherlands,Netherlands,NL,179.81,231.33,67.60,64.12,Electricity Maps Estimation
2023-01-05 00:00:00,Netherlands,Netherlands,NL,218.80,278.61,60.59,55.27,Electricity Maps Estimation
2023-01-06 00:00:00,Netherlands,Netherlands,NL,205.59,261.79,63.84,59.84,Electricity Maps Estimation
2023-01-07 00:00:00,Netherlands,Netherlands,NL,158.49,206.37,70.81,63.48,Electricity Maps Estimation
2023-01-08 00:00:00,Netherlands,Netherlands,NL,157.66,204.99,71.74,64.76,Electricity Maps Estimation
2023-01-09 00:00:00,Netherlands,Netherlands,NL,220.76,279.33,61.94,57.35,Electricity Maps Estimation
2023-01-10 00:00:00,Netherlands,Netherlands,NL,214.32,271.69,62.64,59.44,Electricity Maps Estimation
2023-01-11 00:00:00,Netherlands,Netherlands,NL,190.16,243.33,66.19,62.71,Electricity Maps Estimation
2023-01-12 00:00:00,Netherlands,Netherlands,NL,176.04,227.02,68.79,65.35,Electricity Maps Estimation
2023-01-13 00:00:00,Netherlands,Netherlands,NL,171.46,221.79,69.23,64.89,Electricity Maps Estimation
2023-01-14 00:00:00,Netherlands,Netherlands,NL,147.60,193.34,73.62,68.08,Electricity Maps Estimation
2023-01-15 00:00:00,Netherlands,Netherlands,NL,159.43,207.45,71.17,67.24,Electricity Maps Estimation
2023-01-16 00:00:00,Netherlands,Netherlands,NL,242.04,302.73,60.44,56.25,Electricity Maps Estimation
2023-01-17 00:00:00,Netherlands,Netherlands,NL,320.67,397.61,45.49,42.26,Electricity Maps Estimation
2023-01-18 00:00:00,Netherlands,Netherlands,NL,298.65,373.73,46.25,43.66,Electricity Maps Estimation
2023-01-19 00:00:00,Netherlands,Netherlands,NL,319.14,396.39,44.66,41.76,Electricity Maps Estimation
2023-01-20 00:00:00,Netherlands,Netherlands,NL,359.22,448.08,34.29,31.52,Electricity Maps Estimation
2023-01-21 00:00:00,Netherlands,Netherlands,NL,348.36,429.96,41.57,37.92,Electricity Maps Estimation
2023-01-22 00:00:00,Netherlands,Netherlands,NL,339.57,416.71,45.11,41.64,Electricity Maps Estimation
2023-01-23 00:00:00,Netherlands,Netherlands,NL,376.78,466.40,33.49,30.61,Electricity Maps Estimation
2023-01-24 00:00:00,Netherlands,Netherlands,NL,380.76,472.69,31.64,28.87,Electricity Maps Estimation
2023-01-25 00:00:00,Netherlands,Netherlands,NL,366.64,455.97,34.52,31.36,Electricity Maps Estimation
2023-01-26 00:00:00,Netherlands,Netherlands,NL,323.13,404.93,40.65,38.03,Electricity Maps Estimation
2023-01-27 00:00:00,Netherlands,Netherlands,NL,315.24,395.24,42.08,39.63,Electricity Maps Estimation
2023-01-28 00:00:00,Netherlands,Netherlands,NL,370.67,460.92,33.81,30.42,Electricity Maps Estimation
2023-01-29 00:00:00,Netherlands,Netherlands,NL,223.78,284.06,61.11,57.85,Electricity Maps Estimation
2023-01-30 00:00:00,Netherlands,Netherlands,NL,204.28,261.57,62.98,60.38,Electricity Maps Estimation
2023-01-31 00:00:00,Netherlands,Netherlands,NL,205.16,263.06,62.59,59.95,Electricity Maps Estimation
2023-02-01 00:00:00,Netherlands,Netherlands,NL,179.98,232.39,67.74,65.06,Electricity Maps Estimation
2023-02-02 00:00:00,Netherlands,Netherlands,NL,236.68,300.97,56.55,54.00,Electricity Maps Estimation
2023-02-03 00:00:00,Netherlands,Netherlands,NL,212.21,270.87,62.17,59.56,Electricity Maps Estimation
2023-02-04 00:00:00,Netherlands,Netherlands,NL,352.97,439.63,38.27,34.33,Electricity Maps Estimation
2023-02-05 00:00:00,Netherlands,Netherlands,NL,231.72,294.23,58.91,55.77,Electricity Maps Estimation
2023-02-06 00:00:00,Netherlands,Netherlands,NL,376.77,468.34,32.50,29.06,Electricity Maps Estimation
2023-02-07 00:00:00,Netherlands,Netherlands,NL,373.02,465.32,31.99,29.03,Electricity Maps Estimation
2023-02-08 00:00:00,Netherlands,Netherlands,NL,341.43,426.28,38.93,35.93,Electricity Maps Estimation
2023-02-09 00:00:00,Netherlands,Netherlands,NL,311.06,389.19,45.16,42.25,Electricity Maps Estimation
2023-02-10 00:00:00,Netherlands,Netherlands,NL,255.84,324.25,53.82,50.93,Electricity Maps Estimation
2023-02-11 00:00:00,Netherlands,Netherlands,NL,273.25,345.02,51.34,48.12,Electricity Maps Estimation
2023-02-12 00:00:00,Netherlands,Netherlands,NL,348.18,433.33,40.16,36.12,Electricity Maps Estimation
2023-02-13 00:00:00,Netherlands,Netherlands,NL,359.10,449.62,33.99,30.92,Electricity Maps Estimation
2023-02-14 00:00:00,Netherlands,Netherlands,NL,373.79,466.70,31.19,28.53,Electricity Maps Estimation
2023-02-15 00:00:00,Netherlands,Netherlands,NL,335.44,420.46,38.39,35.83,Electricity Maps Estimation
2023-02-16 00:00:00,Netherlands,Netherlands,NL,257.20,325.41,53.92,51.19,Electricity Maps Estimation
2023-02-17 00:00:00,Netherlands,Netherlands,NL,182.54,236.30,66.95,64.15,Electricity Maps Estimation
2023-02-18 00:00:00,Netherlands,Netherlands,NL,181.57,235.81,66.73,63.63,Electricity Maps Estimation
2023-02-19 00:00:00,Netherlands,Netherlands,NL,233.77,299.15,57.93,53.95,Electricity Maps Estimation
2023-02-20 00:00:00,Netherlands,Netherlands,NL,177.05,229.40,68.54,65.81,Electricity Maps Estimation
2023-02-21 00:00:00,Netherlands,Netherlands,NL,310.00,389.29,44.89,41.83,Electricity Maps Estimation
2023-02-22 00:00:00,Netherlands,Netherlands,NL,347.99,436.02,36.26,33.55,Electricity Maps Estimation
2023-02-23 00:00:00,Netherlands,Netherlands,NL,332.30,417.02,39.33,36.63,Electricity Maps Estimation
2023-02-24 00:00:00,Netherlands,Netherlands,NL,225.62,287.23,60.18,57.43,Electricity Maps Estimation
2023-02-25 00:00:00,Netherlands,Netherlands,NL,188.71,243.46,66.80,63.75,Electricity Maps Estimation
2023-02-26 00:00:00,Netherlands,Netherlands,NL,205.99,264.68,63.31,59.86,Electricity Maps Estimation
2023-02-27 00:00:00,Netherlands,Netherlands,NL,302.54,381.27,44.56,41.89,Electricity Maps Estimation
2023-02-28 00:00:00,Netherlands,Netherlands,NL,346.50,434.41,36.34,33.78,Electricity Maps Estimation
2023-03-01 00:00:00,Netherlands,Netherlands,NL,334.25,419.62,38.50,36.07,Electricity Maps Estimation
2023-03-02 00:00:00,Netherlands,Netherlands,NL,306.79,386.28,43.67,41.31,Electricity Maps Estimation
2023-03-03 00:00:00,Netherlands,Netherlands,NL,314.82,395.66,42.89,40.28,Electricity Maps Estimation
2023-03-04 00:00:00,Netherlands,Netherlands,NL,242.03,306.96,58.74,55.10,Electricity Maps Estimation
2023-03-05 00:00:00,Netherlands,Netherlands,NL,279.93,351.64,52.55,48.86,Electricity Maps Estimation
2023-03-06 00:00:00,Netherlands,Netherlands,NL,267.03,338.83,51.33,48.46,Electricity Maps Estimation
2023-03-07 00:00:00,Netherlands,Netherlands,NL,249.81,317.31,55.50,52.63,Electricity Maps Estimation
2023-03-08 00:00:00,Netherlands,Netherlands,NL,297.87,376.22,45.51,42.38,Electricity Maps Estimation
2023-03-09 00:00:00,Netherlands,Netherlands,NL,309.64,390.28,43.97,39.53,Electricity Maps Estimation
2023-03-10 00:00:00,Netherlands,Netherlands,NL,230.13,293.97,59.38,55.80,Electricity Maps Estimation
2023-03-11 00:00:00,Netherlands,Netherlands,NL,270.89,342.64,54.26,49.83,Electricity Maps Estimation
2023-03-12 00:00:00,Netherlands,Netherlands,NL,137.06,183.28,75.28,69.96,Electricity Maps Estimation
2023-03-13 00:00:00,Netherlands,Netherlands,NL,104.83,143.62,81.30,77.74,Electricity Maps Estimation
2023-03-14 00:00:00,Netherlands,Netherlands,NL,147.65,195.14,73.92,70.57,Electricity Maps Estimation
2023-03-15 00:00:00,Netherlands,Netherlands,NL,253.91,322.97,55.61,51.75,Electricity Maps Estimation
