Day;Amazon: (Netherlands);Bol.com: (Netherlands);Coolblue: (Netherlands);Zalando: (Netherlands);IKEA: (Netherlands);NU.nl: (Netherlands);Algemeen Dagblad: (Netherlands);De Telegraaf: (Netherlands);de Volkskrant: (Netherlands);RTL Nieuws: (Netherlands);University of Amsterdam: (Netherlands);Delft University of Technology (TU Delft): (Netherlands);University of Groningen: (Netherlands);Utrecht University: (Netherlands);Erasmus University Rotterdam: (Netherlands);Google Chrome: (Netherlands);Microsoft Bing: (Netherlands);Yahoo: (Netherlands);DuckDuckGo: (Netherlands)
2023-01-01;31;69;17;28;74;69;68;100;7;12;17;17;13;17;13;44;20;51;8
2023-01-02;34;90;28;31;93;45;52;81;7;7;40;29;24;34;26;83;17;73;7
2023-01-03;32;88;25;31;82;47;54;81;6;8;38;34;24;32;38;81;24;80;9
2023-01-04;36;90;23;31;82;49;51;81;7;7;40;26;25;33;34;74;22;71;7
2023-01-05;38;85;24;27;79;45;53;74;6;9;36;30;20;39;36;78;17;77;12
2023-01-06;36;76;22;28;78;46;52;80;7;8;28;22;20;38;25;80;17;83;12
2023-01-07;36;82;22;31;93;46;55;82;7;7;31;23;18;28;16;64;21;49;9
2023-01-08;36;80;20;30;94;47;53;88;6;8;49;30;28;37;27;67;15;44;10
2023-01-09;35;81;22;27;67;44;50;77;6;8;96;61;46;83;57;96;24;81;7
2023-01-10;32;80;19;27;59;45;50;77;6;8;100;64;50;81;44;88;23;65;9
2023-01-11;30;76;20;27;57;45;51;76;6;9;86;55;46;62;47;90;15;81;8
2023-01-12;29;75;20;25;59;46;53;79;6;9;81;47;46;66;52;96;20;73;8
2023-01-13;27;73;19;25;66;44;50;79;7;7;70;52;41;59;43;87;21;74;11
2023-01-14;35;79;22;30;100;44;52;69;7;7;36;31;32;36;26;61;18;54;6
2023-01-15;32;77;20;30;94;45;52;73;6;7;44;41;46;41;26;64;23;50;10
2023-01-16;32;73;19;28;64;45;48;72;7;8;97;58;65;88;44;97;21;69;12
2023-01-17;32;74;22;25;56;43;48;74;6;7;93;58;51;83;43;92;18;71;6
2023-01-18;30;74;23;26;58;42;51;72;5;7;78;60;50;77;39;91;21;78;9
2023-01-19;30;71;18;25;54;41;47;77;5;8;92;49;33;69;49;82;21;71;0
2023-01-20;31;75;20;26;60;48;52;78;7;8;75;52;49;55;36;89;19;71;7
2023-01-21;34;75;20;27;84;45;53;74;6;8;43;44;33;40;19;63;21;46;12
2023-01-22;33;75;21;28;94;46;53;74;5;8;37;33;27;52;32;65;19;53;6
2023-01-23;30;78;21;29;61;42;52;76;7;7;75;60;46;85;54;100;19;72;10
2023-01-24;32;77;20;25;55;43;52;75;6;7;73;64;39;86;56;79;24;77;7
2023-01-25;32;80;20;27;60;43;52;71;6;8;79;54;52;81;56;93;24;70;10
2023-01-26;30;72;19;24;56;45;54;73;7;8;80;53;44;79;47;89;19;81;9
2023-01-27;29;71;22;26;62;42;55;72;6;8;69;50;35;64;35;93;20;80;6
2023-01-28;34;74;21;29;85;43;51;71;7;6;47;30;20;34;23;61;16;54;9
2023-01-29;35;77;22;30;91;43;52;70;7;6;49;41;34;48;36;74;20;55;9
2023-01-30;31;74;20;26;60;43;51;73;6;6;89;63;52;79;45;88;19;75;7
2023-01-31;32;72;19;25;61;45;50;77;7;8;83;64;64;66;57;80;21;88;0
