Day;Amazon: (Netherlands);Bol.com: (Netherlands);Coolblue: (Netherlands);Zalando: (Netherlands);IKEA: (Netherlands);NU.nl: (Netherlands);Algemeen Dagblad: (Netherlands);De Telegraaf: (Netherlands);de Volkskrant: (Netherlands);RTL Nieuws: (Netherlands);Google Chrome: (Netherlands);Microsoft Bing: (Netherlands);Yahoo: (Netherlands);duckduckgo: (Netherlands);University of Amsterdam: (Netherlands);Delft University of Technology (TU Delft): (Netherlands);University of Groningen: (Netherlands);Utrecht University: (Netherlands);Erasmus University Rotterdam: (Netherlands)
2023-10-01;27;54;13;22;81;54;61;82;6;7;62;26;54;14;42;36;30;47;35
2023-10-02;27;51;12;18;55;50;54;71;6;8;93;36;88;13;74;67;47;89;47
2023-10-03;25;48;12;18;55;49;52;73;5;8;100;33;79;6;62;56;46;68;42
2023-10-04;22;51;12;17;55;48;53;79;7;8;91;44;79;11;54;63;36;71;45
2023-10-05;23;50;11;18;56;50;55;81;6;8;87;32;79;12;64;60;38;78;47
2023-10-06;24;45;11;18;56;47;49;75;6;8;81;36;75;10;56;50;31;60;44
2023-10-07;24;43;12;19;76;58;64;83;8;9;48;34;48;9;41;31;13;45;39
2023-10-08;26;45;12;21;81;63;64;79;7;10;55;38;53;12;35;20;25;40;29
2023-10-09;26;51;12;18;55;58;59;93;8;10;82;37;77;10;76;68;47;76;47
2023-10-10;33;54;12;18;52;60;61;94;7;11;78;43;61;14;82;62;54;79;38
2023-10-11;32;53;11;19;56;55;59;87;7;9;88;37;71;9;69;49;33;75;37
2023-10-12;26;52;11;19;54;54;58;91;6;10;100;41;71;14;50;53;34;72;41
2023-10-13;23;51;11;17;59;56;64;96;7;9;82;39;65;13;50;47;33;57;28
2023-10-14;25;49;13;18;85;62;60;92;8;10;62;34;52;9;35;27;16;26;19
2023-10-15;27;59;14;23;100;60;61;97;7;10;68;43;59;10;33;36;28;47;30
2023-10-16;22;50;12;18;67;59;58;86;7;9;88;46;70;13;77;60;53;78;43
2023-10-17;24;51;12;20;59;59;61;96;7;11;99;41;72;16;73;60;52;72;41
2023-10-18;24;53;12;20;61;58;60;100;7;12;82;49;66;10;67;54;45;71;40
2023-10-19;24;49;12;22;60;55;56;88;8;10;98;47;82;16;70;65;41;66;32
2023-10-20;28;53;12;18;67;54;54;81;7;9;77;39;67;9;63;58;28;56;30
2023-10-21;25;51;13;19;85;51;57;84;7;8;65;38;48;13;38;25;15;24;21
2023-10-22;27;55;12;20;90;56;65;81;6;9;62;38;54;10;45;37;30;30;33
2023-10-23;28;56;12;19;66;54;56;83;7;8;83;45;66;11;65;74;43;77;48
2023-10-24;26;58;12;19;62;51;54;86;6;9;89;46;68;17;75;60;41;72;51
2023-10-25;29;58;12;22;62;50;56;81;7;9;91;41;75;13;65;53;48;70;40
2023-10-26;28;55;12;19;58;48;56;80;7;9;91;43;72;10;59;49;42;74;51
2023-10-27;24;54;12;20;66;48;55;83;7;9;73;44;68;11;52;44;31;59;38
2023-10-28;25;49;13;22;82;51;54;90;6;8;67;43;53;13;35;28;21;30;25
2023-10-29;27;55;13;23;85;62;66;88;7;9;60;46;48;14;31;26;23;58;22
2023-10-30;25;56;13;18;58;47;52;84;7;9;90;52;80;8;69;55;42;100;50
2023-10-31;26;56;11;18;54;49;53;76;6;9;82;68;76;9;78;54;38;79;47
